2017/12/07 02:20:05 socat[2911] E write(5, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:50 socat[6091] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:50 socat[6093] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:50 socat[6097] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:50 socat[6099] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:50 socat[6105] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:50 socat[6113] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:50 socat[6115] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:50 socat[6117] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:50 socat[6119] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:50 socat[6131] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:50 socat[6147] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:52 socat[6517] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:52 socat[6521] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:52 socat[6525] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:52 socat[6646] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:52 socat[6656] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:52 socat[6658] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:20:52 socat[6660] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:21:19 socat[11281] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:21:19 socat[11283] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:21:19 socat[11285] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:21:23 socat[11326] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:21:41 socat[14498] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:21:51 socat[17335] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:22:17 socat[17411] E write(5, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:40:57 socat[20807] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:40:58 socat[20867] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:40:59 socat[21237] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:40:59 socat[21239] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:40:59 socat[21241] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:40:59 socat[21245] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:40:59 socat[21285] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:40:59 socat[21325] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:41:01 socat[21399] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:41:02 socat[21409] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:41:03 socat[21419] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:41:26 socat[26001] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:41:26 socat[26003] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:41:27 socat[26013] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:41:39 socat[26417] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:41:48 socat[29171] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:41:49 socat[29299] E write(6, 0x55a667eb0640, 20): Broken pipe
2017/12/07 02:43:14 socat[29301] E write(5, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:07 socat[32477] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:07 socat[32481] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:07 socat[32483] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:07 socat[32487] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:07 socat[32489] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:07 socat[32491] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:07 socat[32495] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:07 socat[32503] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:07 socat[32505] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:07 socat[32507] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:07 socat[32509] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:08 socat[465] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:08 socat[467] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:08 socat[471] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:08 socat[511] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:09 socat[560] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:09 socat[613] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:35 socat[5528] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:36 socat[5530] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:36 socat[5532] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:37 socat[5540] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:58 socat[8739] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:44:58 socat[8823] E write(6, 0x55a667eb0640, 20): Broken pipe
2017/12/07 02:45:10 socat[11653] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:45:27 socat[11655] E write(5, 0x55a667eb0640, 1): Broken pipe
