2018/03/06 03:04:36 socat[22022] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:36 socat[22024] E write(6, 0x561b1ef4b700, 550): Broken pipe
2018/03/06 03:04:36 socat[22026] E write(6, 0x561b1ef4b700, 396): Broken pipe
2018/03/06 03:04:36 socat[22028] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:36 socat[22030] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22032] E write(6, 0x561b1ef4b700, 10): Broken pipe
2018/03/06 03:04:36 socat[22034] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22036] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22038] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22040] E write(6, 0x561b1ef4b700, 3058): Broken pipe
2018/03/06 03:04:36 socat[22042] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:36 socat[22044] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22046] E write(6, 0x561b1ef4b700, 459): Broken pipe
2018/03/06 03:04:37 socat[22048] E write(6, 0x561b1ef4b700, 558): Broken pipe
2018/03/06 03:04:37 socat[22050] E write(6, 0x561b1ef4b700, 855): Broken pipe
2018/03/06 03:04:37 socat[22052] E write(6, 0x561b1ef4b700, 576): Broken pipe
2018/03/06 03:04:37 socat[22054] E write(6, 0x561b1ef4b700, 12): Broken pipe
2018/03/06 03:04:37 socat[22056] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:37 socat[22058] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:37 socat[22060] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:37 socat[22062] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:37 socat[22064] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:37 socat[22066] E write(6, 0x561b1ef4b700, 1078): Broken pipe
2018/03/06 03:04:37 socat[22068] E write(6, 0x561b1ef4b700, 649): Broken pipe
2018/03/06 03:04:37 socat[22070] E write(6, 0x561b1ef4b700, 440): Broken pipe
2018/03/06 03:04:37 socat[22072] E write(6, 0x561b1ef4b700, 693): Broken pipe
2018/03/06 03:04:37 socat[22074] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22076] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22078] E write(6, 0x561b1ef4b700, 3614): Broken pipe
2018/03/06 03:04:37 socat[22081] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22084] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22086] E write(6, 0x561b1ef4b700, 3058): Broken pipe
2018/03/06 03:04:37 socat[22088] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22090] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22092] E write(6, 0x561b1ef4b700, 13): Broken pipe
2018/03/06 03:04:37 socat[22094] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22096] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22098] E write(6, 0x561b1ef4b700, 693): Broken pipe
2018/03/06 03:04:37 socat[22100] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22102] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22104] E write(6, 0x561b1ef4b700, 814): Broken pipe
2018/03/06 03:04:37 socat[22106] E write(6, 0x561b1ef4b700, 990): Broken pipe
2018/03/06 03:04:37 socat[22108] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22110] E write(6, 0x561b1ef4b700, 12): Broken pipe
2018/03/06 03:04:37 socat[22112] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22114] E write(6, 0x561b1ef4b700, 528): Broken pipe
2018/03/06 03:04:37 socat[22116] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22118] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22120] E write(6, 0x561b1ef4b700, 704): Broken pipe
2018/03/06 03:04:37 socat[22122] E write(6, 0x561b1ef4b700, 12): Broken pipe
2018/03/06 03:04:37 socat[22124] E write(6, 0x561b1ef4b700, 539): Broken pipe
2018/03/06 03:04:37 socat[22126] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22128] E write(6, 0x561b1ef4b700, 1243): Broken pipe
2018/03/06 03:04:37 socat[22130] E write(6, 0x561b1ef4b700, 12): Broken pipe
2018/03/06 03:04:37 socat[22132] E write(6, 0x561b1ef4b700, 759): Broken pipe
2018/03/06 03:04:37 socat[22134] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22136] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22138] E write(6, 0x561b1ef4b700, 1313): Broken pipe
2018/03/06 03:04:37 socat[22140] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22142] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22144] E write(6, 0x561b1ef4b700, 517): Broken pipe
